route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
E,5,E_5_inbound_0750,Inbound to UCD MU,1,23,E_inbound_New2021
E,61,E_61_inbound_0750,Inbound to UCD MU,1,23,E_inbound_New2021
E,62,E_62_inbound_0750,Inbound to UCD MU,1,23,E_inbound_New2021
E,11,E_11_inbound_0750,Inbound to UCD MU,1,23,E_inbound_New2021
E,13,E_13_inbound_0750,Inbound to UCD MU,1,23,E_inbound_New2021
E,1,E_1_inbound_0815,Inbound to UCD MU,1,24,E_inbound_New2021
E,3,E_3_inbound_0815,Inbound to UCD MU,1,24,E_inbound_New2021
E,5,E_5_inbound_0815,Inbound to UCD MU,1,24,E_inbound_New2021
E,61,E_61_inbound_0815,Inbound to UCD MU,1,24,E_inbound_New2021
E,62,E_62_inbound_0815,Inbound to UCD MU,1,24,E_inbound_New2021
E,11,E_11_inbound_0815,Inbound to UCD MU,1,24,E_inbound_New2021
E,13,E_13_inbound_0815,Inbound to UCD MU,1,24,E_inbound_New2021
E,1,E_1_inbound_0850,Inbound to UCD MU,1,23,E_inbound_New2021
E,3,E_3_inbound_0850,Inbound to UCD MU,1,23,E_inbound_New2021
E,5,E_5_inbound_0850,Inbound to UCD MU,1,23,E_inbound_New2021
E,61,E_61_inbound_0850,Inbound to UCD MU,1,23,E_inbound_New2021
E,62,E_62_inbound_0850,Inbound to UCD MU,1,23,E_inbound_New2021
E,11,E_11_inbound_0850,Inbound to UCD MU,1,23,E_inbound_New2021
E,13,E_13_inbound_0850,Inbound to UCD MU,1,23,E_inbound_New2021
E,1,E_1_inbound_0920,Inbound to UCD MU,1,24,E_inbound_New2021
E,3,E_3_inbound_0920,Inbound to UCD MU,1,24,E_inbound_New2021
E,5,E_5_inbound_0920,Inbound to UCD MU,1,24,E_inbound_New2021
E,61,E_61_inbound_0920,Inbound to UCD MU,1,24,E_inbound_New2021
E,62,E_62_inbound_0920,Inbound to UCD MU,1,24,E_inbound_New2021
E,11,E_11_inbound_0920,Inbound to UCD MU,1,24,E_inbound_New2021
E,13,E_13_inbound_0920,Inbound to UCD MU,1,24,E_inbound_New2021
E,1,E_1_inbound_0950,Inbound to UCD MU,1,23,E_inbound_New2021
E,3,E_3_inbound_0950,Inbound to UCD MU,1,23,E_inbound_New2021
E,5,E_5_inbound_0950,Inbound to UCD MU,1,23,E_inbound_New2021
E,61,E_61_inbound_0950,Inbound to UCD MU,1,23,E_inbound_New2021
E,62,E_62_inbound_0950,Inbound to UCD MU,1,23,E_inbound_New2021
E,11,E_11_inbound_0950,Inbound to UCD MU,1,23,E_inbound_New2021
E,13,E_13_inbound_0950,Inbound to UCD MU,1,23,E_inbound_New2021
E,1,E_1_inbound_1020,Inbound to UCD MU,1,24,E_inbound_New2021
E,3,E_3_inbound_1020,Inbound to UCD MU,1,24,E_inbound_New2021
E,5,E_5_inbound_1020,Inbound to UCD MU,1,24,E_inbound_New2021
